,MoviesId,Title,Genres
0,1,Toy Story (1995),Animation
1,1,Toy Story (1995),Children's
2,1,Toy Story (1995),Comedy
3,2,Jumanji (1995),Adventure
4,2,Jumanji (1995),Children's
5,2,Jumanji (1995),Fantasy
6,3,Grumpier Old Men (1995),Comedy
7,3,Grumpier Old Men (1995),Romance
8,4,Waiting to Exhale (1995),Comedy
9,4,Waiting to Exhale (1995),Drama
10,5,Father of the Bride Part II (1995),Comedy
11,6,Heat (1995),Action
12,6,Heat (1995),Crime
13,6,Heat (1995),Thriller
14,7,Sabrina (1995),Comedy
15,7,Sabrina (1995),Romance
16,8,Tom and Huck (1995),Adventure
17,8,Tom and Huck (1995),Children's
18,9,Sudden Death (1995),Action
19,10,GoldenEye (1995),Action
20,10,GoldenEye (1995),Adventure
21,10,GoldenEye (1995),Thriller
22,11,"American President, The (1995)",Comedy
23,11,"American President, The (1995)",Drama
24,11,"American President, The (1995)",Romance
25,12,Dracula: Dead and Loving It (1995),Comedy
26,12,Dracula: Dead and Loving It (1995),Horror
27,13,Balto (1995),Animation
28,13,Balto (1995),Children's
29,14,Nixon (1995),Drama
30,15,Cutthroat Island (1995),Action
31,15,Cutthroat Island (1995),Adventure
32,15,Cutthroat Island (1995),Romance
33,16,Casino (1995),Drama
34,16,Casino (1995),Thriller
35,17,Sense and Sensibility (1995),Drama
36,17,Sense and Sensibility (1995),Romance
37,18,Four Rooms (1995),Thriller
38,19,Ace Ventura: When Nature Calls (1995),Comedy
39,20,Money Train (1995),Action
40,21,Get Shorty (1995),Action
41,21,Get Shorty (1995),Comedy
42,21,Get Shorty (1995),Drama
43,22,Copycat (1995),Crime
44,22,Copycat (1995),Drama
45,22,Copycat (1995),Thriller
46,23,Assassins (1995),Thriller
47,24,Powder (1995),Drama
48,24,Powder (1995),Sci-Fi
49,25,Leaving Las Vegas (1995),Drama
50,25,Leaving Las Vegas (1995),Romance
51,26,Othello (1995),Drama
52,27,Now and Then (1995),Drama
53,28,Persuasion (1995),Romance
54,29,"City of Lost Children, The (1995)",Adventure
55,29,"City of Lost Children, The (1995)",Sci-Fi
56,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
57,31,Dangerous Minds (1995),Drama
58,32,Twelve Monkeys (1995),Drama
59,32,Twelve Monkeys (1995),Sci-Fi
60,33,Wings of Courage (1995),Adventure
61,33,Wings of Courage (1995),Romance
62,34,Babe (1995),Children's
63,34,Babe (1995),Comedy
64,34,Babe (1995),Drama
65,35,Carrington (1995),Drama
66,35,Carrington (1995),Romance
67,36,Dead Man Walking (1995),Drama
68,37,Across the Sea of Time (1995),Documentary
