MoviesId,Title,Genres
1,toy story  ,Animation
1,toy story  ,Children's
1,toy story  ,Comedy
2,jumanji  ,Adventure
2,jumanji  ,Children's
2,jumanji  ,Fantasy
3,grumpier old men  ,Comedy
3,grumpier old men  ,Romance
4,waiting to exhale  ,Comedy
4,waiting to exhale  ,Drama
5,father of the bride part ii  ,Comedy
6,heat  ,Action
6,heat  ,Crime
6,heat  ,Thriller
7,sabrina  ,Comedy
7,sabrina  ,Romance
8,tom and huck  ,Adventure
8,tom and huck  ,Children's
9,sudden death  ,Action
10,goldeneye  ,Action
10,goldeneye  ,Adventure
10,goldeneye  ,Thriller
11,american president the  ,Comedy
11,american president the  ,Drama
11,american president the  ,Romance
12,dracula dead and loving it  ,Comedy
12,dracula dead and loving it  ,Horror
13,balto  ,Animation
13,balto  ,Children's
14,nixon  ,Drama
15,cutthroat island  ,Action
15,cutthroat island  ,Adventure
15,cutthroat island  ,Romance
16,casino  ,Drama
16,casino  ,Thriller
17,sense and sensibility  ,Drama
17,sense and sensibility  ,Romance
18,four rooms  ,Thriller
19,ace ventura when nature calls  ,Comedy
20,money train  ,Action
21,get shorty  ,Action
21,get shorty  ,Comedy
21,get shorty  ,Drama
22,copycat  ,Crime
22,copycat  ,Drama
22,copycat  ,Thriller
23,assassins  ,Thriller
24,powder  ,Drama
24,powder  ,Sci-Fi
25,leaving las vegas  ,Drama
25,leaving las vegas  ,Romance
26,othello  ,Drama
27,now and then  ,Drama
28,persuasion  ,Romance
29,city of lost children the  ,Adventure
29,city of lost children the  ,Sci-Fi
30,shanghai triad yao a yao yao dao waipo qiao  ,Drama
31,dangerous minds  ,Drama
32,twelve monkeys  ,Drama
32,twelve monkeys  ,Sci-Fi
33,wings of courage  ,Adventure
33,wings of courage  ,Romance
34,babe  ,Children's
34,babe  ,Comedy
34,babe  ,Drama
35,carrington  ,Drama
35,carrington  ,Romance
36,dead man walking  ,Drama
37,across the sea of time  ,Documentary
38,it takes two  ,Comedy
39,clueless  ,Comedy
39,clueless  ,Romance
40,cry the beloved country  ,Drama
41,richard iii  ,Drama
41,richard iii  ,War
42,dead presidents  ,Action
42,dead presidents  ,Crime
42,dead presidents  ,Drama
43,restoration  ,Drama
44,mortal kombat  ,Action
44,mortal kombat  ,Adventure
45,to die for  ,Comedy
45,to die for  ,Drama
46,how to make an american quilt  ,Drama
46,how to make an american quilt  ,Romance
47,seven seen  ,Crime
47,seven seen  ,Thriller
48,pocahontas  ,Animation
48,pocahontas  ,Children's
48,pocahontas  ,Musical
48,pocahontas  ,Romance
49,when night is falling  ,Drama
49,when night is falling  ,Romance
50,usual suspects the  ,Crime
50,usual suspects the  ,Thriller
51,guardian angel  ,Action
51,guardian angel  ,Drama
51,guardian angel  ,Thriller
52,mighty aphrodite  ,Comedy
53,lamerica  ,Drama
54,big green the  ,Children's
54,big green the  ,Comedy
55,georgia  ,Drama
56,kids of the round table  ,Adventure
56,kids of the round table  ,Children's
56,kids of the round table  ,Fantasy
57,home for the holidays  ,Drama
58,postino il the postman  ,Drama
58,postino il the postman  ,Romance
59,confessional the le confessionnal  ,Drama
59,confessional the le confessionnal  ,Mystery
